stop_id,lat,lon
Sefton.SP27.4 Entry Loc,-33.888362884521484,150.9462127685547
Sefton.EW416 Loc,-33.885101318359375,151.039306640625
Sefton.EW407BT Loc,-33.885658264160156,151.03746032714844
Sefton.SP100/107 Loc,-33.881195068359375,150.9737548828125
Sefton.SP25 Loc,-33.88003158569336,151.0253143310547
Sefton.Birrong 2 Entry Loc,-33.892887115478516,151.0239715576172
Sefton.Regents Park 2 Loc,-33.883419036865234,151.0236358642578
Sefton.SP26.8 Loc,-33.88648223876953,150.9532928466797
Sefton.SP25.5 Loc,-33.88339614868164,150.96507263183594
Sefton.SP7 Loc,-33.88884353637695,151.02357482910156
Sefton.Carramar 2 Loc,-33.884422302246094,150.96102905273438
Sefton.Carramar 1 Loc,-33.884422302246094,150.96102905273438
Sefton.SP14 Loc,-33.88528823852539,151.02178955078125
Sefton.SP26.7 Loc,-33.88643264770508,150.95361328125
Sefton.Regents Park 1 Loc,-33.883399963378906,151.02366638183594
Sefton.SP112 Loc,-33.882694244384766,150.9675750732422
Sefton.SP102 Loc,-33.88125228881836,150.97323608398438
Sefton.SM380 Loc,-33.89021301269531,151.02491760253906
Sefton.Villawood 1 Loc,-33.88090515136719,150.9759063720703
Sefton.Leightonfield 1 Loc,-33.881507873535156,150.98489379882812
Sefton.SP68 Loc,-33.882389068603516,150.9913787841797
Sefton.Chester Hill 1 Loc,-33.883567810058594,150.9996795654297
Sefton.SP21.4 Loc,-33.88471984863281,151.00784301757812
Sefton.Sefton 1 Loc,-33.885169982910156,151.01144409179688
Sefton.ST423LC Entry Loc,-33.866851806640625,151.03675842285156
Sefton.SP38 Loc,-33.88585662841797,151.015869140625
Sefton.SP10 Loc,-33.8880500793457,151.02088928222656
Sefton.Berala 2 Loc,-33.87186050415039,151.03245544433594
Sefton.LC11.9 Loc,-33.87629318237305,151.02674865722656
Sefton.SP31 Loc,-33.88628387451172,151.01805114746094
Sefton.SP20.9 Loc,-33.88560104370117,151.0142059326172
Sefton.Sefton 2 Loc,-33.885169982910156,151.01144409179688
Sefton.SP49 Loc,-33.88418960571289,151.0038604736328
Sefton.Chester Hill 2 Loc,-33.883567810058594,150.9996795654297
Sefton.SP61 Loc,-33.882781982421875,150.993896484375
Sefton.SP75 Loc,-33.88197326660156,150.9882049560547
Sefton.Leightonfield 2 Loc,-33.881507873535156,150.98489379882812
Sefton.Villawood 2 Loc,-33.88090515136719,150.9759063720703
Sefton.EW412 Loc,-33.88501739501953,151.0404510498047
Sefton.EW407DT Loc,-33.885658264160156,151.03746032714844
Sefton.EW407 Entry Loc,-33.88570022583008,151.03750610351562
Sefton.EW407CT Loc,-33.885658264160156,151.03746032714844
Sefton.SP33 Loc,-33.88612365722656,151.017822265625
Sefton.SP16 Loc,-33.88471984863281,151.0225067138672
Sefton.EWLF1T Loc,-33.88570022583008,151.03750610351562
Sefton.SP22.6 Loc,-33.8831901550293,150.9970245361328
Sefton.EW420/SP3 Loc,-33.888057708740234,151.0266876220703
Sefton.EW420AT Loc,-33.885101318359375,151.039306640625
Sefton.SP12/22 Loc,-33.888397216796875,151.02183532714844
Sefton.SP23AT Loc,-33.88529968261719,151.0218505859375
