stop_id,lat,lon
Hornsby.HY77 Loc,-33.699424,151.099528
Hornsby.HY86 Entry Loc,-33.697946,151.100003
SouthCoast.METR-732,-34.184031,151.004278
SouthCoast.COAL-656,-34.241839,150.978147
SouthCoast.COAL-643,-34.244008,150.971443
SouthCoast.COAL-631-634,-34.245665,150.968521
SouthCoast.COAL-654,-34.241867,150.978192
SouthCoast.COAL-637,-34.244085,150.971349
SouthCoast.THRL-594,-34.308390,150.926734
SouthCoast.THRL-579,-34.315033,150.921158
SouthCoast.THRL-596,-34.308362,150.926702
SouthCoast.THRL-581,-34.314862,150.921231
SouthCoast.THRL-588-587,-34.310626,150.924841
SouthCoast.THRL-582,-34.314329,150.921926
SouthCoast.THRL-559,-34.319018,150.918365
SouthCoast.WOLL-446-425,-34.431321,150.887184
SouthCoast.WOLL-424-415,-34.434526,150.886499
SouthCoast.WOLL-120-115,-34.439942,150.884405
SouthCoast.WOLL-133-116,-34.442108,150.886962
SouthCoast.WOLL-1001,-34.443258,150.875941
SouthCoast.WOLL-444-419,-34.432316,150.887155
SouthCoast.WOLL-409,-34.435446,150.886442
SouthCoast.WOLL-442-417,-34.432204,150.887235
SouthCoast.WOLL-119,-34.441153,150.885513
SouthCoast.WOLL-131-126,-34.441759,150.886482
SouthCoast.WOLL-1003,-34.442995,150.876754
SouthCoast.WOLL-1005,-34.442958,150.876752
SouthCoast.WOLL-117,-34.440927,150.885001
SouthCoast.PKLA-87,-34.452063,150.876486
SouthCoast.PKLA-86-83,-34.453815,150.875890
SouthCoast.PKLA-32,-34.473332,150.891606
SouthCoast.PKLA-29,-34.477263,150.896662
SouthCoast.PKLA-4,-34.477037,150.902971
SouthCoast.PKLA-75,-34.459364,150.876651
SouthCoast.PKLA-66,-34.461546,150.877079
SouthCoast.UNAN-1014,-34.452153,150.848825
SouthCoast.UNAN-1020,-34.453835,150.846762
SouthCoast.UNAN-1027,-34.456550,150.844153
SouthCoast.UNAN-1028,-34.458495,150.842353
SouthCoast.UNAN-1033,-34.462976,150.831931
SouthCoast.UNAN-1034,-34.463155,150.826906
SouthCoast.DBTN-1043,-34.458883,150.809851
SouthCoast.DBTN-1042,-34.452244,150.802723
SouthCoast.UNAN-1026,-34.458516,150.842393
SouthCoast.UNAN-1031,-34.463010,150.831947
SouthCoast.UNAN-1032,-34.463186,150.826881
SouthCoast.DBTN-1041,-34.458912,150.809826
SouthCoast.DBTN-1040,-34.452271,150.802688
SouthCoast.UNAN-1019,-34.452292,150.848913
SouthCoast.41-4,-34.483154,150.800049
SouthCoast.44-26-9,-34.657830,150.854092
SouthCoast.44-10-25,-34.660216,150.853537
SouthCoast.45-8,-34.674495,150.852956
Strathfield.ST157 Loc,-33.867208,151.089745
Strathfield.ST264 Loc,-33.866226,151.08539
Strathfield.ST272 Entry Loc,-33.864536,151.07753
Lidcombe.S17.3 Loc,-33.803608,150.961384
Lidcombe.S18.1 Loc,-33.794650,150.952359
Sydenham.SM648BBER,-33.921975,151.156985
Sydenham.SY554 Loc,-33.901704,151.185015
Sydenham.Erskineville 1 Loc,-33.900943,151.185149
Sydenham.SY536 Exit Loc,-33.896770,151.187940
Sydney.SY536 Entry Loc,-33.896770,151.187940
Sydney.SY528 Loc,-33.895574,151.189983
Sydney.SY496 Loc,-33.894910,151.191915
Sydney.SY486 Loc,-33.894485,151.193572
Sydney.SY476 Loc,-33.893867,151.195388
Sydney.SY454 Loc,-33.892995,151.197113
Sydney.Redfern 7 Loc,-33.892282,151.198478
Sefton.EW420/SP3 Loc,-33.887558,151.031292
Sefton.EW420AT Loc,-33.885653,151.037428
Sefton.EW407 Entry Loc,-33.885464,151.043007
Sefton.EW407BT Loc,-33.885157,151.041807
Sefton.EW407CT Loc,-33.885455,151.038038
Sefton.EW407DT Loc,-33.887561,151.031612
Sefton.EWLF1T Loc,-33.885737,151.014465
